year,model,size,
1955,250 Isetta,Subcompact car,
1956,250 Isetta,Subcompact car,
1956,300 Isetta,Subcompact car,
1957,300 Isetta,Subcompact car,
1958,300 Isetta,Subcompact car,
1959,300 Isetta,Subcompact car,
1960,300 Isetta,Subcompact car,
1961,300 Isetta,Subcompact car,
1962,300 Isetta,Subcompact car,
1957,600 Isetta,Subcompact car,
1958,600 Isetta,Subcompact car,
1959,600 Isetta,Subcompact car,
1960,600 Isetta,Subcompact car,
1959,700,Subcompact car,
1960,700,Subcompact car,
1961,700,Subcompact car,
1962,700,Subcompact car,
1963,"700, 700 LS",Subcompact car,
1964,"700, 700 LS",Subcompact car,
1965,"700, 700 LS",Subcompact car,
2014,i3,Subcompact car,
2015,i3,Subcompact car,
2016,i3,Subcompact car,
2017,i3,Subcompact car,
2018,i3,Subcompact car,
2019,i3,Subcompact car,
2020,i3,Subcompact car,
2021,i3,Subcompact car,
2022,i3,Subcompact car,
2023,i3,Subcompact car,
2008,1-Series,Compact car,
2009,1-Series,Compact car,
2010,1-Series,Compact car,
2011,1-Series,Compact car,
2012,1-Series,Compact car,
2013,1-Series,Compact car,
2014,2-Series,Compact car,
2015,2-Series,Compact car,
2016,2-Series,Compact car,
2017,2-Series,Compact car,
2018,2-Series,Compact car,
2019,2-Series,Compact car,
2020,"2-Series, M2",Compact car,
2021,"2-Series, M2",Compact car,
2022,"2-Series, M2",Compact car,
2023,"2-Series, M2",Compact car,
2020,2-Series Gran Coupé,Compact car,
2021,2-Series Gran Coupé,Compact car,
2022,2-Series Gran Coupé,Compact car,
2023,2-Series Gran Coupé,Compact car,
1968,"2002, 2002TI",Compact car,
1969,"2002, 2000TI",Compact car,
1970,"2002, 2002TI",Compact car,
1971,"2002, 2002TII",Compact car,
1972,"2002, 2002TII",Compact car,
1973,"2002, 2002TII",Compact car,
1974,"2002, 2002TII",Compact car,
1975,2002,Compact car,
1976,2002,Compact car,
1975,3-Series,Compact car,
1976,3-Series,Compact car,
1977,3-Series,Compact car,
1978,3-Series,Compact car,
1979,3-Series,Compact car,
1980,3-Series,Compact car,
1981,3-Series,Compact car,
1982,3-Series,Compact car,
1983,3-Series,Compact car,BMW 3-Series E21 may have been sold in parallel with E30 for few years
1984,3-Series,Compact car,
1985,3-Series,Compact car,
1986,3-Series,Compact car,
1987,3-Series,Compact car,
1988,"3-Series, M3",Compact car,
1989,"3-Series, M3",Compact car,
1990,"3-Series, M3",Compact car,
1991,"3-Series, M3",Compact car,
1992,3-Series,Compact car,BMW 3-Series E30 may have been sold in parallel with E36 for few years
1993,3-Series,Compact car,
1994,3-Series,Compact car,
1995,"3-Series, M3",Compact car,
1996,"3-Series, M3",Compact car,
1997,"3-Series, M3",Compact car,
1998,"3-Series, M3",Compact car,
1999,"3-Series, M3",Compact car,
1999,3-Series,Compact car,
2000,3-Series,Compact car,
2001,"3-Series, M3",Compact car,
2002,"3-Series, M3",Compact car,
2003,"3-Series, M3",Compact car,
2004,"3-Series, M3",Compact car,
2005,"3-Series, M3",Compact car,
2006,"3-Series, M3",Compact car,
2006,3-Series,Compact car,
2007,3-Series,Compact car,
2008,"3-Series, M3",Compact car,
2009,"3-Series, M3",Compact car,
2010,"3-Series, M3",Compact car,
2011,"3-Series, M3",Compact car,
2012,"3-Series, M3",Compact car,
2013,"3-Series, M3",Compact car,
2013,3-Series ,Compact car,
2014,3-Series ,Compact car,
2015,"3-Series, M3",Compact car,
2016,"3-Series, M3",Compact car,
2017,"3-Series, M3",Compact car,
2018,"3-Series, M3",Compact car,
2019,3-Series,Compact car,
2020,3-Series,Compact car,
2020,3-Series,Compact car,
2021,3-Series,Compact car,
2022,3-Series,Compact car,
2023,3-Series,Compact car,
2014,4-Series,Compact car,
2015,"4-Series, M4",Compact car,
2016,"4-Series, M4",Compact car,
2017,"4-Series, M4",Compact car,
2018,"4-Series, M4",Compact car,
2019,"4-Series, M4",Compact car,
2020,"4-Series, M4",Compact car,
2021,4-Series,Compact car,UNCONFIRMED
2022,4-Series,Compact car,UNCONFIRMED
2023,4-Series,Compact car,UNCONFIRMED
2014,3-Series Gran Turismo,Compact car,
2015,3-Series Gran Turismo,Compact car,
2016,3-Series Gran Turismo,Compact car,
2017,3-Series Gran Turismo,Compact car,
2018,3-Series Gran Turismo,Compact car,
2019,3-Series Gran Turismo,Compact car,
1962,1500,Mid-size car,
1963,"1500, 1800",Mid-size car,
1964,"1500, 1600, 1800, 1800TI",Mid-size car,
1965,"1600, 1800, 1800TI, 2000C, 2000CS",Mid-size car,
1966,"1600, 1600-2, 1800, 1800TI, 2000, 2000C, 2000CS, 2000TI",Mid-size car,
1967,"1600, 1600-2, 1600TI, 1800, 1800TI, 2000, 2000C, 2000CS, 2000TI",Mid-size car,
1968,"1600, 1600GT, 1600TI, 1800, 2000, 2000C, 2000CS, 2000TI",Mid-size car,
1969,"1600, 1800, 2000, 2000C, 2000CS",Mid-size car,
1970,"1600, 2000",Mid-size car,
1971,"1600, 2000, 2000 Touring, 2000TII",Mid-size car,
1972,"2000 Touring, 2000TII",Mid-size car,
1975,5-Series,Mid-size car,
1976,5-Series,Mid-size car,
1977,5-Series,Mid-size car,
1978,5-Series,Mid-size car,
1979,5-Series,Mid-size car,
1980,5-Series,Mid-size car,
1981,5-Series,Mid-size car,
1982,5-Series,Mid-size car,
1983,5-Series,Mid-size car,
1984,5-Series,Mid-size car,
1985,5-Series,Mid-size car,
1986,5-Series,Mid-size car,
1987,5-Series,Mid-size car,
1988,"5-Series, M5",Mid-size car,
1989,5-Series,Mid-size car,
1990,5-Series,Mid-size car,
1991,"5-Series, M5",Mid-size car,
1992,"5-Series, M5",Mid-size car,
1993,"5-Series, M5",Mid-size car,
1994,5-Series,Mid-size car,
1995,5-Series,Mid-size car,
1997,5-Series,Mid-size car,
1998,5-Series,Mid-size car,
1999,5-Series,Mid-size car,
2000,"5-Series, M5",Mid-size car,
2001,"5-Series, M5",Mid-size car,
2002,"5-Series, M5",Mid-size car,
2003,"5-Series, M5",Mid-size car,
2004,5-Series,Mid-size car,
2005,5-Series,Mid-size car,
2006,"5-Series, M5",Mid-size car,
2007,"5-Series, M5",Mid-size car,
2008,"5-Series, M5",Mid-size car,
2009,"5-Series, M5",Mid-size car,
2010,"5-Series, M5",Mid-size car,
2011,5-Series,Mid-size car,
2012,5-Series,Mid-size car,
2013,"5-Series, M5",Mid-size car,
2014,"5-Series, M5",Mid-size car,
2015,"5-Series, M5",Mid-size car,
2016,"5-Series, M5",Mid-size car,
2017,5-Series,Mid-size car,
2018,"5-Series, M5",Mid-size car,
2019,"5-Series, M5",Mid-size car,
2020,"5-Series, M5",Mid-size car,
2021,"5-Series, M5",Mid-size car,
2022,"5-Series, M5",Mid-size car,
2023,"5-Series, M5",Mid-size car,
2010,5-Series Gran Turismo,Mid-size car,
2011,5-Series Gran Turismo,Mid-size car,
2012,5-Series Gran Turismo,Mid-size car,
2013,5-Series Gran Turismo,Mid-size car,
2014,5-Series Gran Turismo,Mid-size car,
2015,5-Series Gran Turismo,Mid-size car,
2016,5-Series Gran Turismo,Mid-size car,
2017,5-Series Gran Turismo,Mid-size car,
2018,6-Series Gran Turismo,Mid-size car,
2019,6-Series Gran Turismo,Mid-size car,
2020,6-Series Gran Turismo,Mid-size car,
2021,6-Series Gran Turismo,Mid-size car,
2022,6-Series Gran Turismo,Mid-size car,
2023,6-Series Gran Turismo,Mid-size car,
2022,i4,Mid-size car,
2023,i4,Mid-size car,
1977,6-Series,Grand tourer,
1978,6-Series,Grand tourer,
1979,6-Series,Grand tourer,
1980,6-Series,Grand tourer,
1981,6-Series,Grand tourer,
1982,6-Series,Grand tourer,
1983,6-Series,Grand tourer,
1984,6-Series,Grand tourer,
1985,6-Series,Grand tourer,
1986,6-Series,Grand tourer,
1987,"6-Series, M6",Grand tourer,
1988,"6-Series, M6",Grand tourer,
1989,6-Series,Grand tourer,
1991,8-Series,Grand tourer,
1992,8-Series,Grand tourer,
1993,8-Series,Grand tourer,
1994,8-Series,Grand tourer,
1995,8-Series,Grand tourer,
1996,8-Series,Grand tourer,
1997,8-Series,Grand tourer,
2004,6-Series,Grand tourer,
2005,6-Series,Grand tourer,
2006,"6-Series, M6",Grand tourer,
2007,"6-Series, M6",Grand tourer,
2008,"6-Series, M6",Grand tourer,
2009,"6-Series, M6",Grand tourer,
2010,"6-Series, M6",Grand tourer,
2012,"6-Series, M6",Grand tourer,
2013,"6-Series, M6",Grand tourer,
2014,"6-Series, M6",Grand tourer,
2015,"6-Series, M6",Grand tourer,
2016,"6-Series, M6",Grand tourer,
2017,"6-Series, M6",Grand tourer,
2018,"6-Series, M6",Grand tourer,
2019,8-Series,Grand tourer,
2020,8-Series,Grand tourer,
2021,8-Series,Grand tourer,
2022,8-Series,Grand tourer,
2023,8-Series,Grand tourer,
1952,501,Full-size car,
1953,501,Full-size car,
1954,501,Full-size car,
1955,501,Full-size car,
1956,501,Full-size car,
1957,501,Full-size car,
1958,501,Full-size car,
1959,501,Full-size car,
1960,501,Full-size car,
1961,501,Full-size car,
1954,502,Full-size car,
1955,502,Full-size car,
1956,502,Full-size car,
1957,502,Full-size car,
1958,502,Full-size car,
1959,502,Full-size car,
1960,502,Full-size car,
1961,502,Full-size car,
1961,"2600, 2600L, 3200L, 3200S",Full-size car,
1962,"2600, 2600L, 3200CS, 3200L, 3200S",Full-size car,
1963,"2600L, 3200CS, 3200S",Full-size car,
1964,3200CS,Full-size car,
1965,3200CS,Full-size car,
1968,2800CS,Full-size car,
1969,"2500, 2800, 2800CS",Full-size car,
1970,"2500, 2800, 2800CS",Full-size car,
1971,"2500, 2800, 2800 Bavaria, 2800CS",Full-size car,
1973,2800,Full-size car,
1971,"3.0CS, 3.0CSL, 3.0S",Full-size car,
1972,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",Full-size car,
1973,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",Full-size car,
1974,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",Full-size car,
1975,"3.0CSI, 3.0S, 3.0SIO",Full-size car,
1976,3.0SI,Full-size car,
1978,7-Series,Full-size car,
1979,7-Series,Full-size car,
1980,7-Series,Full-size car,
1981,7-Series,Full-size car,
1982,7-Series,Full-size car,
1983,7-Series,Full-size car,
1984,7-Series,Full-size car,
1985,7-Series,Full-size car,
1986,7-Series,Full-size car,
1987,7-Series,Full-size car,Possible wrong model year
1987,7-Series,Full-size car,Possible wrong model year
1988,7-Series,Full-size car,
1989,7-Series,Full-size car,
1990,7-Series,Full-size car,
1991,7-Series,Full-size car,
1992,7-Series,Full-size car,
1993,7-Series,Full-size car,
1994,7-Series,Full-size car,
1995,7-Series,Full-size car,
1996,7-Series,Full-size car,
1997,7-Series,Full-size car,
1998,7-Series,Full-size car,
1999,7-Series,Full-size car,
2000,7-Series,Full-size car,
2001,7-Series,Full-size car,
2002,7-Series,Full-size car,
2003,7-Series,Full-size car,
2004,7-Series,Full-size car,
2005,7-Series,Full-size car,
2006,7-Series,Full-size car,
2007,7-Series,Full-size car,
2008,7-Series,Full-size car,
2009,7-Series,Full-size car,
2010,7-Series,Full-size car,
2011,7-Series,Full-size car,
2012,7-Series,Full-size car,
2013,7-Series,Full-size car,
2014,7-Series,Full-size car,
2015,7-Series,Full-size car,
2016,7-Series,Full-size car,
2017,7-Series,Full-size car,
2018,7-Series,Full-size car,
2019,7-Series,Full-size car,
2020,7-Series,Full-size car,
2021,7-Series,Full-size car,
2022,7-Series,Full-size car,
2023,7-Series,Full-size car,
1996,Z3,Sport compact car,
1997,Z3,Sport compact car,
1998,"Z3, M",Sport compact car,
1999,"Z3, M",Sport compact car,
2000,"Z3, M",Sport compact car,
2001,"Z3, M",Sport compact car,
2002,"Z3, M",Sport compact car,
2003,Z4,Sport compact car,
2004,Z4,Sport compact car,
2005,Z4,Sport compact car,
2006,Z4,Sport compact car,
2007,Z4,Sport compact car,
2008,Z4,Sport compact car,
2009,Z4,Sport compact car,
2010,Z4,Sport compact car,
2011,Z4,Sport compact car,
2012,Z4,Sport compact car,
2013,Z4,Sport compact car,
2014,Z4,Sport compact car,
2015,Z4,Sport compact car,
2016,Z4,Sport compact car,
2019,Z4,Sport compact car,
2020,Z4,Sport compact car,
2021,Z4,Sport compact car,
2022,Z4,Sport compact car,
2023,Z4,Sport compact car,
1956,503,Sports car,
1957,503,Sports car,
1958,503,Sports car,
1959,503,Sports car,
1956,507,Roadster car,
1957,507,Roadster car,
1958,507,Roadster car,
1959,507,Roadster car,
1978,M1,Sports car,
1979,M1,Sports car,
1980,M1,Sports car,
1981,M1,Sports car,
2000,Z8,Sports car,
2001,Z8,Sports car,
2002,Z8,Sports car,
2003,Z8,Sports car,
2014,i8,Sports car,
2015,i8,Sports car,
2016,i8,Sports car,
2017,i8,Sports car,
2018,i8,Sports car,
2019,i8,Sports car,
2020,i8,Sports car,
2013,X1,Compact SUV,
2014,X1,Compact SUV,
2015,X1,Compact SUV,
2016,X1,Compact SUV,
2017,X1,Compact SUV,
2018,X1,Compact SUV,
2019,X1,Compact SUV,
2020,X1,Compact SUV,
2021,X1,Compact SUV,
2022,X1,Compact SUV,
2023,X1,Compact SUV,
2018,X2,Compact SUV,
2019,X2,Compact SUV,
2020,X2,Compact SUV,
2021,X2,Compact SUV,
2022,X2,Compact SUV,
2023,X2,Compact SUV,
2004,X3,Compact SUV,
2005,X3,Compact SUV,
2006,X3,Compact SUV,
2007,X3,Compact SUV,
2008,X3,Compact SUV,
2009,X3,Compact SUV,
2010,X3,Compact SUV,
2011,X3,Compact SUV,
2012,X3,Compact SUV,
2013,X3,Compact SUV,
2014,X3,Compact SUV,
2015,X3,Compact SUV,
2016,X3,Compact SUV,
2017,X3,Compact SUV,
2018,X3,Compact SUV,
2019,X3,Compact SUV,
2020,X3,Compact SUV,
2021,X3,Compact SUV,
2022,X3,Compact SUV,
2023,X3,Compact SUV,
2015,X4,Compact crossover SUV,
2016,X4,Compact crossover SUV,
2017,X4,Compact crossover SUV,
2018,X4,Compact crossover SUV,
2019,X4,Compact crossover SUV,
2020,X4,Compact crossover SUV,
2021,X4,Compact crossover SUV,
2022,X4,Compact crossover SUV,
2023,X4,Compact crossover SUV,
2000,X5,Mid-size SUV,
2001,X5,Mid-size SUV,
2002,X5,Mid-size SUV,
2003,X5,Mid-size SUV,
2004,X5,Mid-size SUV,
2005,X5,Mid-size SUV,
2006,X5,Mid-size SUV,
2008,X5,Mid-size SUV,
2009,X5,Mid-size SUV,
2010,X5,Mid-size SUV,
2011,X5,Mid-size SUV,
2012,X5,Mid-size SUV,
2013,X5,Mid-size SUV,
2014,X5,Mid-size SUV,
2015,X5,Mid-size SUV,
2016,X5,Mid-size SUV,
2017,X5,Mid-size SUV,
2018,X5,Mid-size SUV,
2019,X5,Mid-size SUV,
2020,X5,Mid-size SUV,
2021,X5,Mid-size SUV,
2022,X5,Mid-size SUV,
2023,X5,Mid-size SUV,
2008,X6,Mid-size crossover SUV,
2009,X6,Mid-size crossover SUV,
2010,X6,Mid-size crossover SUV,
2011,X6,Mid-size crossover SUV,
2012,X6,Mid-size crossover SUV,
2013,X6,Mid-size crossover SUV,
2014,X6,Mid-size crossover SUV,
2015,X6,Mid-size crossover SUV,
2016,X6,Mid-size crossover SUV,
2017,X6,Mid-size crossover SUV,
2018,X6,Mid-size crossover SUV,
2019,X6,Mid-size crossover SUV,
2020,X6,Mid-size crossover SUV,
2021,X6,Mid-size crossover SUV,
2022,X6,Mid-size crossover SUV,
2023,X6,Mid-size crossover SUV,
2022,iX,Mid-size crossover SUV,
2023,iX,Mid-size crossover SUV,
2019,X7,Full-size SUV,
2020,X7,Full-size SUV,
2021,X7,Full-size SUV,
2022,X7,Full-size SUV,
2023,X7,Full-size SUV,
